year,week,hour,branch,value
2035,21,33,35,-10000.0
2035,21,34,35,-8732.867660862878
2035,21,35,35,-9697.92248364165
2035,21,36,35,-10000.0
2035,21,37,35,-10000.0
2035,21,38,35,-10000.0
2035,21,39,35,-10000.0
2035,21,40,35,-10000.0
2035,21,41,35,-10000.0
2035,21,42,35,-10000.0
2035,21,43,35,-10000.0
2035,21,44,35,-10000.0
2035,21,45,35,-10000.0
2035,21,46,35,-10000.0
2035,21,47,35,-10000.0
2035,21,48,35,-10000.0
2035,21,49,35,-10000.0
2035,21,50,35,-10000.0
2035,21,51,35,-10000.0
2035,21,52,35,-10000.0
2035,21,53,35,-10000.0
2035,21,54,35,-8737.985266838512
2035,21,55,35,-7473.521821905873
2035,21,56,35,-7524.784064465209
2035,21,57,35,-6089.409714656665
2035,21,58,35,-6022.9820630481045
2035,21,59,35,-169.81788499805225
2035,21,60,35,5335.49405356108
2035,21,61,35,4173.5143756817815
2035,21,62,35,2798.6218387034673
2035,21,63,35,1354.4481372476928
2035,21,64,35,-1113.2229184798828
2035,21,65,35,-2539.4540159609055
2035,21,66,35,-9867.82200177259
2035,21,67,35,-10000.0
2035,21,68,35,-10000.0
2035,21,69,35,-6688.582881944767
2035,21,70,35,-5553.551697999572
2035,21,71,35,-4723.941996426818
2035,21,72,35,-5581.612241923949
2035,21,73,35,-6950.099605060146
2035,21,74,35,-8585.730358908822
2035,21,75,35,-9830.663873709482
2035,21,76,35,-10000.0
2035,21,77,35,-10000.0
2035,21,78,35,-10000.0
2035,21,79,35,-8980.633894888699
2035,21,80,35,-8630.129570259092
2035,21,81,35,-4607.1471897352585
2035,21,82,35,-5027.227131730863
2035,21,83,35,388.2550440847008
2035,21,84,35,5895.607213528119
2035,21,85,35,5857.714311089616
2035,21,86,35,4595.280570712476
2035,21,87,35,2551.842939006474
2035,21,88,35,73.0215316249291
2035,21,89,35,-1129.6593457316815
2035,21,90,35,-7648.884247614862
2035,21,91,35,-10000.0
2035,21,92,35,-10000.0
2035,21,93,35,-10000.0
2035,21,94,35,-10000.0
2035,21,95,35,-10000.0
2035,21,96,35,-10000.0
2035,21,97,35,-10000.0
2035,21,98,35,-10000.0
2035,21,99,35,-10000.0
2035,21,100,35,-10000.0
2035,21,101,35,-10000.0
2035,21,102,35,-10000.0
2035,21,103,35,-10000.0
2035,21,104,35,-10000.0
2035,21,105,35,-8002.343610672278
2035,21,106,35,-8214.375922383697
2035,21,107,35,-1154.948007742416
2035,21,108,35,4829.0250293807285
2035,21,109,35,4246.592283904424
2035,21,110,35,3130.6555851244634
2035,21,111,35,1806.88247859707
2035,21,112,35,-1001.0087084346396
2035,21,113,35,-9273.598530552872
2035,21,114,35,-10000.0
2035,21,115,35,-10000.0
2035,21,116,35,-10000.0
2035,21,117,35,-10000.0
2035,21,118,35,-10000.0
2035,21,119,35,-10000.0
2035,21,120,35,-10000.0
2035,21,121,35,-10000.0
2035,21,122,35,-10000.0
2035,21,123,35,-10000.0
2035,21,124,35,-10000.0
2035,21,125,35,-10000.0
2035,21,126,35,-10000.0
2035,21,127,35,-10000.0
2035,21,128,35,-10000.0
2035,21,129,35,-5168.111182247257
2035,21,130,35,-5953.630777173529
2035,21,131,35,-1691.7855980683335
2035,21,132,35,3174.5732091051186
2035,21,133,35,3271.847475894065
2035,21,134,35,1431.4057124236106
2035,21,135,35,-456.7915633058011
2035,21,136,35,-2547.770364059992
2035,21,137,35,-10000.0
2035,21,138,35,-10000.0
