generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name
CZ1 0 onwind,CZ1 0,onwind,126.59055445838929,0.015000000000000005,96085.8880199663,0.0,#235ebc,Onshore Wind
CZ1 0 solar,CZ1 0,solar,1054.5308272262027,0.009999999999999998,35602.07124380446,0.0,#f9d002,Solar
CZ1 1 CCGT,CZ1 1,CCGT,32.0,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
CZ1 1 OCGT,CZ1 1,OCGT,51.0,53.524390243902445,45095.4415151225,0.2,#d35050,Open-Cycle Gas
CZ1 1 biomass,CZ1 1,biomass,1045.923,14.893617021276597,278083.0653560446,0.0,#0c6013,Biomass
CZ1 1 lignite,CZ1 1,lignite,4908.550563908302,12.287878787878787,349976.55362985714,0.41,#9e5a01,Lignite
CZ1 1 nuclear,CZ1 1,nuclear,2250.0,11.378787878787879,706772.616768959,0.0,#ff9000,Nuclear
CZ1 1 onwind,CZ1 1,onwind,212.52711695653088,0.015,96085.8880199663,0.0,#235ebc,Onshore Wind
CZ1 1 ror,CZ1 1,ror,40.226382271496,0.0,299140.2249292296,0.0,#4adbc8,Run of River
CZ1 1 solar,CZ1 1,solar,1018.8891727737972,0.01,35602.07124380445,0.0,#f9d002,Solar
DE1 0 CCGT,DE1 0,CCGT,3430.14,43.317506356396514,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 0 OCGT,DE1 0,OCGT,119.6,57.57840232807551,45095.441515122504,0.2,#d35050,Open-Cycle Gas
DE1 0 biomass,DE1 0,biomass,386.95936000000006,14.893617021276597,278083.0653560446,0.0,#0c6013,Biomass
DE1 0 coal,DE1 0,coal,2489.2297827205703,28.196969696969695,349976.5536298572,0.34,#707070,Coal
DE1 0 onwind,DE1 0,onwind,2889.6641654782497,0.015,96085.8880199663,0.0,#235ebc,Onshore Wind
DE1 0 ror,DE1 0,ror,101.24799999999999,0.0,299140.2249292296,0.0,#4adbc8,Run of River
DE1 0 solar,DE1 0,solar,2363.3557026204417,0.01,35602.07124380444,0.0,#f9d002,Solar
DE1 1 CCGT,DE1 1,CCGT,1279.0,38.65906250772281,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 1 OCGT,DE1 1,OCGT,297.61,57.05085123332651,45095.4415151225,0.2,#d35050,Open-Cycle Gas
DE1 1 biomass,DE1 1,biomass,203.11702,14.893617021276599,278083.06535604456,0.0,#0c6013,Biomass
DE1 1 coal,DE1 1,coal,26.73617174033205,28.196969696969695,349976.5536298572,0.34,#707070,Coal
DE1 1 lignite,DE1 1,lignite,35.04131531627193,11.262312633832977,349976.5536298572,0.41,#9e5a01,Lignite
DE1 1 oil,DE1 1,oil,24.8,131.91286829513976,37870.8074066883,0.26,#262626,Oil
DE1 1 onwind,DE1 1,onwind,2228.159611135532,0.015000000000000001,96085.88801996628,0.0,#235ebc,Onshore Wind
DE1 1 ror,DE1 1,ror,66.254,0.0,299140.22492922965,0.0,#4adbc8,Run of River
DE1 1 solar,DE1 1,solar,2505.301444154024,0.01,35602.07124380445,0.0,#f9d002,Solar
DE1 10 CCGT,DE1 10,CCGT,105.6,40.454139879212946,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 10 OCGT,DE1 10,OCGT,30.0,54.2894476096111,45095.4415151225,0.2,#d35050,Open-Cycle Gas
DE1 10 biomass,DE1 10,biomass,179.60509999999996,14.893617021276599,278083.0653560446,0.0,#0c6013,Biomass
DE1 10 onwind,DE1 10,onwind,336.1587815598369,0.015,96085.88801996631,0.0,#235ebc,Onshore Wind
DE1 10 ror,DE1 10,ror,484.53679999999997,0.0,299140.2249292296,0.0,#4adbc8,Run of River
DE1 10 solar,DE1 10,solar,1337.887294488158,0.01,35602.07124380446,0.0,#f9d002,Solar
DE1 11 CCGT,DE1 11,CCGT,4016.8190000000004,40.00855967450235,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 11 OCGT,DE1 11,OCGT,699.979,56.595343884374294,45095.44151512249,0.2,#d35050,Open-Cycle Gas
DE1 11 biomass,DE1 11,biomass,267.74613100000005,14.893617021276599,278083.0653560446,0.0,#0c6013,Biomass
DE1 11 coal,DE1 11,coal,2091.3243478758095,28.196969696969695,349976.5536298572,0.34,#707070,Coal
DE1 11 lignite,DE1 11,lignite,11500.13275511438,11.746738576590824,349976.5536298572,0.41,#9e5a01,Lignite
DE1 11 oil,DE1 11,oil,161.89999999999998,137.38360703960583,37870.8074066883,0.26,#262626,Oil
DE1 11 onwind,DE1 11,onwind,2133.8030439128565,0.015000000000000003,96085.88801996628,0.0,#235ebc,Onshore Wind
DE1 11 ror,DE1 11,ror,16.547,0.0,299140.2249292296,0.0,#4adbc8,Run of River
DE1 11 solar,DE1 11,solar,2442.785926382566,0.010000000000000002,35602.07124380445,0.0,#f9d002,Solar
DE1 12 OCGT,DE1 12,OCGT,18.9,54.69980019980021,45095.4415151225,0.2,#d35050,Open-Cycle Gas
DE1 12 biomass,DE1 12,biomass,583.7504600000001,14.893617021276599,278083.0653560446,0.0,#0c6013,Biomass
DE1 12 coal,DE1 12,coal,124.46148913602852,28.196969696969695,349976.5536298572,0.34,#707070,Coal
DE1 12 oil,DE1 12,oil,35.4,144.91476378244198,37870.8074066883,0.26,#262626,Oil
DE1 12 onwind,DE1 12,onwind,1005.9718386107456,0.015000000000000005,96085.8880199663,0.0,#235ebc,Onshore Wind
