generator,week,value
PT1 0 offwind-ac,46,4460.18873614281
PT1 0 offwind-ac,47,1779.8210239222926
PT1 0 offwind-ac,48,4460.18873614281
PT1 0 offwind-ac,49,4460.18873614281
PT1 0 offwind-ac,50,3020.4022540764577
PT1 0 offwind-ac,51,0.0
PT1 0 offwind-ac,52,841.7639442036512
PT1 0 offwind-ac,53,4460.188736142809
PT1 0 onwind,1,5213.640675318431
PT1 0 onwind,2,0.0
PT1 0 onwind,3,0.0
PT1 0 onwind,4,3571.7854817890716
PT1 0 onwind,5,0.0
PT1 0 onwind,6,0.0
PT1 0 onwind,7,0.0
PT1 0 onwind,8,0.0
PT1 0 onwind,9,5213.64067531843
PT1 0 onwind,10,5213.640675318431
PT1 0 onwind,11,0.0
PT1 0 onwind,12,5213.640675318431
PT1 0 onwind,13,4997.081248380695
PT1 0 onwind,14,5213.640675318432
PT1 0 onwind,15,5213.640675318432
PT1 0 onwind,16,5213.640675318431
PT1 0 onwind,17,0.0
PT1 0 onwind,18,0.0
PT1 0 onwind,19,325.80544917265036
PT1 0 onwind,20,5213.640675318431
PT1 0 onwind,21,5213.640675318431
PT1 0 onwind,22,5213.640675318431
PT1 0 onwind,23,5213.64067531843
PT1 0 onwind,24,5213.640675318432
PT1 0 onwind,25,5213.640675318431
PT1 0 onwind,26,5213.640675318432
PT1 0 onwind,27,5213.640675318431
PT1 0 onwind,28,5213.640675318431
PT1 0 onwind,29,5213.64067531843
PT1 0 onwind,30,5213.640675318432
PT1 0 onwind,31,5213.640675318431
PT1 0 onwind,32,5213.64067531843
PT1 0 onwind,33,5213.640675318431
PT1 0 onwind,34,5213.640675318431
PT1 0 onwind,35,5213.640675318431
PT1 0 onwind,36,5213.64067531843
PT1 0 onwind,37,5213.640675318432
PT1 0 onwind,38,5213.640675318431
PT1 0 onwind,39,5213.640675318431
PT1 0 onwind,40,5047.616913802913
PT1 0 onwind,41,5213.640675318432
PT1 0 onwind,42,0.0
PT1 0 onwind,43,631.3943447350351
PT1 0 onwind,44,5213.640675318432
PT1 0 onwind,45,0.0
PT1 0 onwind,46,5213.640675318431
PT1 0 onwind,47,0.0
PT1 0 onwind,48,5213.640675318432
PT1 0 onwind,49,5213.640675318431
PT1 0 onwind,50,0.0
PT1 0 onwind,51,920.2690184029614
PT1 0 onwind,52,0.0
PT1 0 onwind,53,5213.640675318432
PT1 0 ror,1,2638.5
PT1 0 ror,2,2638.5
PT1 0 ror,3,0.0
PT1 0 ror,4,2638.5
PT1 0 ror,5,2638.5
PT1 0 ror,6,2638.5
PT1 0 ror,7,2638.5
PT1 0 ror,8,2638.5
PT1 0 ror,9,2638.5
PT1 0 ror,10,0.0
PT1 0 ror,11,2638.5
PT1 0 ror,12,2638.5
PT1 0 ror,13,2638.5
PT1 0 ror,14,2638.5
PT1 0 ror,15,2638.5
PT1 0 ror,16,2638.5
PT1 0 ror,17,2638.5
PT1 0 ror,18,2638.5
PT1 0 ror,19,2638.5
PT1 0 ror,20,2638.5
PT1 0 ror,21,2638.5
PT1 0 ror,22,2638.5
PT1 0 ror,23,2638.5
PT1 0 ror,24,2638.5
PT1 0 ror,25,2638.5
PT1 0 ror,26,2638.5
PT1 0 ror,27,2638.5
PT1 0 ror,28,2638.5
PT1 0 ror,29,2638.5
PT1 0 ror,30,2638.5
PT1 0 ror,31,2638.5
PT1 0 ror,32,2638.5
PT1 0 ror,33,2638.5
PT1 0 ror,34,2638.5
PT1 0 ror,35,2638.5
PT1 0 ror,36,2638.5
PT1 0 ror,37,2638.5
PT1 0 ror,38,2638.5
PT1 0 ror,39,0.0
PT1 0 ror,40,2638.5
PT1 0 ror,41,2638.5
PT1 0 ror,42,0.0
PT1 0 ror,43,2638.5
PT1 0 ror,44,2638.5
PT1 0 ror,45,2638.5
PT1 0 ror,46,2638.5
PT1 0 ror,47,2638.5
PT1 0 ror,48,2638.5
PT1 0 ror,49,2638.5
PT1 0 ror,50,2638.5
PT1 0 ror,51,2638.5
PT1 0 ror,52,0.0
PT1 0 ror,53,2638.5
PT1 0 solar,1,1025.44
PT1 0 solar,2,1025.44
PT1 0 solar,3,1025.44
PT1 0 solar,4,1025.44
PT1 0 solar,5,1025.44
PT1 0 solar,6,1025.44
PT1 0 solar,7,1025.44
PT1 0 solar,8,1025.4399999999998
PT1 0 solar,9,1025.44
PT1 0 solar,10,1025.4400000000003
PT1 0 solar,11,1025.4399999999998
PT1 0 solar,12,0.0
PT1 0 solar,13,1025.44
PT1 0 solar,14,1025.44
PT1 0 solar,15,1025.44
PT1 0 solar,16,1025.4399999999998
PT1 0 solar,17,1025.44
PT1 0 solar,18,1025.44
PT1 0 solar,19,1025.44
PT1 0 solar,20,1025.44
PT1 0 solar,21,1025.44
PT1 0 solar,22,1025.44
PT1 0 solar,23,1025.44
PT1 0 solar,24,1025.4399999999998
PT1 0 solar,25,1025.44
PT1 0 solar,26,1025.44
PT1 0 solar,27,1025.44
PT1 0 solar,28,1025.44
PT1 0 solar,29,1025.44
PT1 0 solar,30,1025.44
PT1 0 solar,31,1025.44
PT1 0 solar,32,1025.44
PT1 0 solar,33,1025.44
PT1 0 solar,34,1025.4399999999998
PT1 0 solar,35,1025.44
PT1 0 solar,36,1025.44
PT1 0 solar,37,1025.44
PT1 0 solar,38,1025.4399999999998
PT1 0 solar,39,1025.44
PT1 0 solar,40,1025.44
PT1 0 solar,41,1025.44
PT1 0 solar,42,1025.44
PT1 0 solar,43,1025.4400000000003
PT1 0 solar,44,1025.44
PT1 0 solar,45,1025.44
PT1 0 solar,46,1025.44
PT1 0 solar,47,1025.44
PT1 0 solar,48,1025.44
PT1 0 solar,49,1025.44
PT1 0 solar,50,0.0
PT1 0 solar,51,0.0
PT1 0 solar,52,1025.44
PT1 0 solar,53,1025.44
ES1 0 CCGT new,1,0.0
ES1 0 CCGT new,2,0.0
ES1 0 CCGT new,3,0.0
ES1 0 CCGT new,4,0.0
ES1 0 CCGT new,5,0.0
ES1 0 CCGT new,6,0.0
ES1 0 CCGT new,7,0.0
ES1 0 CCGT new,8,0.0
ES1 0 CCGT new,9,0.0
ES1 0 CCGT new,10,0.0
ES1 0 CCGT new,11,0.0
ES1 0 CCGT new,12,0.0
ES1 0 CCGT new,13,0.0
ES1 0 CCGT new,14,0.0
ES1 0 CCGT new,15,0.0
ES1 0 CCGT new,16,0.0
ES1 0 CCGT new,17,0.0
ES1 0 CCGT new,18,0.0
ES1 0 CCGT new,19,0.0
ES1 0 CCGT new,20,0.0
ES1 0 CCGT new,21,0.0
ES1 0 CCGT new,22,0.0
ES1 0 CCGT new,23,0.0
ES1 0 CCGT new,24,0.0
ES1 0 CCGT new,25,0.0
ES1 0 CCGT new,26,0.0
ES1 0 CCGT new,27,0.0
ES1 0 CCGT new,28,0.0
ES1 0 CCGT new,29,0.0
ES1 0 CCGT new,30,0.0
ES1 0 CCGT new,31,0.0
ES1 0 CCGT new,32,0.0
ES1 0 CCGT new,33,0.0
ES1 0 CCGT new,34,0.0
ES1 0 CCGT new,35,0.0
ES1 0 CCGT new,36,0.0
ES1 0 CCGT new,37,0.0
ES1 0 CCGT new,38,0.0
ES1 0 CCGT new,39,0.0
ES1 0 CCGT new,40,0.0
ES1 0 CCGT new,41,0.0
ES1 0 CCGT new,42,0.0
ES1 0 CCGT new,43,0.0
ES1 0 CCGT new,44,0.0
ES1 0 CCGT new,45,0.0
ES1 0 CCGT new,46,0.0
ES1 0 CCGT new,47,0.0
ES1 0 CCGT new,48,0.0
ES1 0 CCGT new,49,0.0
ES1 0 CCGT new,50,0.0
ES1 0 CCGT new,51,0.0
ES1 0 CCGT new,52,0.0
ES1 0 CCGT new,53,0.0
ES1 0 coal new,1,0.0
ES1 0 coal new,2,0.0
ES1 0 coal new,3,0.0
ES1 0 coal new,4,0.0
ES1 0 coal new,5,0.0
ES1 0 coal new,6,0.0
ES1 0 coal new,7,0.0
ES1 0 coal new,8,0.0
ES1 0 coal new,9,0.0
ES1 0 coal new,10,0.0
ES1 0 coal new,11,0.0
ES1 0 coal new,12,0.0
ES1 0 coal new,13,0.0
ES1 0 coal new,14,0.0
ES1 0 coal new,15,0.0
ES1 0 coal new,16,0.0
ES1 0 coal new,17,0.0
ES1 0 coal new,18,0.0
ES1 0 coal new,19,0.0
ES1 0 coal new,20,0.0
ES1 0 coal new,21,0.0
ES1 0 coal new,22,0.0
ES1 0 coal new,23,0.0
ES1 0 coal new,24,0.0
ES1 0 coal new,25,0.0
ES1 0 coal new,26,0.0
ES1 0 coal new,27,0.0
ES1 0 coal new,28,0.0
ES1 0 coal new,29,0.0
ES1 0 coal new,30,0.0
ES1 0 coal new,31,0.0
ES1 0 coal new,32,0.0
ES1 0 coal new,33,0.0
ES1 0 coal new,34,0.0
ES1 0 coal new,35,0.0
ES1 0 coal new,36,0.0
ES1 0 coal new,37,0.0
ES1 0 coal new,38,0.0
ES1 0 coal new,39,0.0
ES1 0 coal new,40,0.0
ES1 0 coal new,41,0.0
ES1 0 coal new,42,0.0
ES1 0 coal new,43,0.0
ES1 0 coal new,44,0.0
ES1 0 coal new,45,0.0
ES1 0 coal new,46,0.0
ES1 0 coal new,47,0.0
ES1 0 coal new,48,0.0
ES1 0 coal new,49,0.0
ES1 0 coal new,50,0.0
ES1 0 coal new,51,0.0
ES1 0 coal new,52,0.0
ES1 0 coal new,53,0.0
ES1 0 offwind-ac new,1,0.0
ES1 0 offwind-ac new,2,0.0
ES1 0 offwind-ac new,3,0.0
ES1 0 offwind-ac new,4,0.0
ES1 0 offwind-ac new,5,0.0
ES1 0 offwind-ac new,6,0.0
ES1 0 offwind-ac new,7,0.0
ES1 0 offwind-ac new,8,0.0
ES1 0 offwind-ac new,9,0.0
ES1 0 offwind-ac new,10,0.0
ES1 0 offwind-ac new,11,0.0
ES1 0 offwind-ac new,12,0.0
ES1 0 offwind-ac new,13,0.0
ES1 0 offwind-ac new,14,0.0
ES1 0 offwind-ac new,15,0.0
ES1 0 offwind-ac new,16,0.0
ES1 0 offwind-ac new,17,0.0
ES1 0 offwind-ac new,18,0.0
ES1 0 offwind-ac new,19,0.0
ES1 0 offwind-ac new,20,0.0
ES1 0 offwind-ac new,21,0.0
ES1 0 offwind-ac new,22,0.0
ES1 0 offwind-ac new,23,0.0
ES1 0 offwind-ac new,24,0.0
