scenario,year,week,hour,battery,dual_value
NT,2025,18,42,ES1 0 bat,0.0
NT,2025,18,43,ES1 0 bat,0.0
NT,2025,18,44,ES1 0 bat,0.0
NT,2025,18,45,ES1 0 bat,0.0
NT,2025,18,46,ES1 0 bat,0.0
NT,2025,18,47,ES1 0 bat,0.0
NT,2025,18,48,ES1 0 bat,0.0
NT,2025,18,49,ES1 0 bat,0.0
NT,2025,18,50,ES1 0 bat,0.0
NT,2025,18,51,ES1 0 bat,0.0
NT,2025,18,52,ES1 0 bat,0.0
NT,2025,18,53,ES1 0 bat,0.0
NT,2025,18,54,ES1 0 bat,0.0
NT,2025,18,55,ES1 0 bat,0.0
NT,2025,18,56,ES1 0 bat,0.0
NT,2025,18,57,ES1 0 bat,0.0
NT,2025,18,58,ES1 0 bat,0.0
NT,2025,18,59,ES1 0 bat,0.0
NT,2025,18,60,ES1 0 bat,0.0
NT,2025,18,61,ES1 0 bat,0.0
NT,2025,18,62,ES1 0 bat,0.0
NT,2025,18,63,ES1 0 bat,0.0
NT,2025,18,64,ES1 0 bat,0.0
NT,2025,18,65,ES1 0 bat,0.0
NT,2025,18,66,ES1 0 bat,0.0
NT,2025,18,67,ES1 0 bat,0.0
NT,2025,18,68,ES1 0 bat,0.0
NT,2025,18,69,ES1 0 bat,0.0
NT,2025,18,70,ES1 0 bat,0.0
NT,2025,18,71,ES1 0 bat,0.0
NT,2025,18,72,ES1 0 bat,0.0
NT,2025,18,73,ES1 0 bat,0.0
NT,2025,18,74,ES1 0 bat,0.0
NT,2025,18,75,ES1 0 bat,0.0
NT,2025,18,76,ES1 0 bat,0.0
NT,2025,18,77,ES1 0 bat,0.0
NT,2025,18,78,ES1 0 bat,0.0
NT,2025,18,79,ES1 0 bat,0.0
NT,2025,18,80,ES1 0 bat,0.0
NT,2025,18,81,ES1 0 bat,0.0
NT,2025,18,82,ES1 0 bat,0.0
NT,2025,18,83,ES1 0 bat,0.0
NT,2025,18,84,ES1 0 bat,0.0
NT,2025,18,85,ES1 0 bat,0.0
NT,2025,18,86,ES1 0 bat,0.0
NT,2025,18,87,ES1 0 bat,0.0
NT,2025,18,88,ES1 0 bat,0.0
NT,2025,18,89,ES1 0 bat,0.0
NT,2025,18,90,ES1 0 bat,0.0
NT,2025,18,91,ES1 0 bat,0.0
NT,2025,18,92,ES1 0 bat,0.0
NT,2025,18,93,ES1 0 bat,0.0
NT,2025,18,94,ES1 0 bat,0.0
NT,2025,18,95,ES1 0 bat,0.0
NT,2025,18,96,ES1 0 bat,0.0
NT,2025,18,97,ES1 0 bat,0.0
